Items in order,lemmatized_text
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Peri Peri Tender,x grilled chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Smoky BBQ Tender, 1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries",x bone jamaican grilled chicken x grilled chicken smoky bbq tender x fried chicken peri peri tender peri peri fry
"1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries, 1 x Bone in Angara Grilled Chicken",x fried chicken peri peri tender peri peri fry x bone angara grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Angara Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone angara grilled chicken x bone peri peri grilled chicken x bone jamaican grilled chicken
"1 x Grilled Chicken Peri Peri Tangdi, 1 x Bone in Peri Peri Grilled Chicken",x grilled chicken peri peri tangdi x bone peri peri grilled chicken
"1 x Animal Fries, 1 x Bone in Jamaican Grilled Chicken",x animal fry x bone jamaican grilled chicken
1 x Grilled Chicken Peri Peri Tender,x grilled chicken peri peri tender
1 x AAC Signature Fries,x aac signature fry
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
"1 x Bone in Angara Grilled Chicken, 1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries",x bone angara grilled chicken x fried chicken peri peri tender peri peri fry
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grilled chicken x bone jamaican grilled chicken
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
1 x Grilled Chicken Tangdi Jamaican + Salted Krispers,x grilled chicken tangdi jamaican salted krispers
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice,x bone jamaican grilled chicken quarter angara rice
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Angara Rice, 1 x Fried Chicken Angara Tender, 1 x Angara Aloo Tuk Tuki, 1 x Onion Bombs",x angara rice x fried chicken angara tender x angara aloo tuk tuki x onion bomb
"1 x AAC Saucy Fries, 1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Peri Peri Tender",x aac saucy fry x fried chicken peri peri tender x grilled chicken peri peri tender
1 x AAC Saucy Fries,x aac saucy fry
1 x Grilled Chicken Angara Tender,x grilled chicken angara tender
1 x Animal Fries,x animal fry
1 x Fried Chicken Angara Tender,x fried chicken angara tender
1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice,x bone jamaican grilled chicken quarter angara rice
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
1 x Fried Chicken Angara Tender,x fried chicken angara tender
"1 x Peri Peri Fries, 1 x Fried Chicken Kabuli Tender",x peri peri fry x fried chicken kabuli tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
"1 x Fried Chicken Angara Tender, 1 x Fried Chicken Kabuli Tender, 1 x AAC Signature Krispers, 1 x Animal Fries",x fried chicken angara tender x fried chicken kabuli tender x aac signature krispers x animal fry
"1 x Angara Rice, 1 x Bone in Jamaican Grilled Chicken, 1 x Angara Aloo Tuk Tuki",x angara rice x bone jamaican grilled chicken x angara aloo tuk tuki
2 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
1 x Animal Fries,x animal fry
"1 x Angara Rice, 1 x Bone in Jamaican Grilled Chicken",x angara rice x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Fried Chicken Angara Tender,x fried chicken angara tender
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
1 x Animal Fries,x animal fry
"1 x Grilled Chicken Tangdi Jamaican + Salted Krispers, 1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice",x grilled chicken tangdi jamaican salted krispers x bone jamaican grilled chicken quarter angara rice
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken
1 x Peri Peri Krispers,x peri peri krispers
"2 x Peri Peri Fries, 1 x Fried Chicken Peri Peri Tender",x peri peri fry x fried chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x GhostBuster Sauce, 1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x ghostbuster sauce x bone peri peri grilled chicken x bone smoky bbq grilled chicken x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Fried Chicken Angara Tender,x fried chicken angara tender
2 x Animal Fries,x animal fry
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grilled chicken x bone jamaican grilled chicken
1 x Peri Peri Fries,x peri peri fry
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Peri Peri Fries, 1 x Grilled Chicken Angara Tender, 1 x Bone in Peri Peri Grilled Chicken",x peri peri fry x grilled chicken angara tender x bone peri peri grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Classic Tender, 1 x Grilled Chicken Smoky BBQ Tender",x bone jamaican grilled chicken x fried chicken classic tender x grilled chicken smoky bbq tender
1 x Animal Fries,x animal fry
1 x Fried Chicken Angara Tender,x fried chicken angara tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Angara Tangdi, 1 x Bone in Peri Peri Grilled Chicken, 1 x Animal Fries",x bone jamaican grilled chicken x grilled chicken angara tangdi x bone peri peri grilled chicken x animal fry
1 x Animal Fries,x animal fry
"1 x AAC Signature Fries, 1 x Animal Fries, 1 x Fried Chicken Angara Tender, 1 x Cafreal dip",x aac signature fry x animal fry x fried chicken angara tender x cafreal dip
1 x Fried Chicken Classic Tender,x fried chicken classic tender
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Bone in Kabuli Grilled Chicken, 1 x Grilled Chicken Jamaican Tangdi",x bone kabuli grilled chicken x grilled chicken jamaican tangdi
1 x Grilled Chicken Angara Tender,x grilled chicken angara tender
1 x Grilled Chicken Angara Tender,x grilled chicken angara tender
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Fried Chicken Kabuli Tender,x fried chicken kabuli tender
1 x Animal Fries,x animal fry
"1 x Grilled Chicken Jamaican Tender, 1 x Fried Chicken Peri Peri Tender",x grilled chicken jamaican tender x fried chicken peri peri tender
1 x Fried Chicken Angara Tender,x fried chicken angara tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
"1 x Fried Chicken Classic Tender, 1 x Grilled Chicken Jamaican Tender",x fried chicken classic tender x grilled chicken jamaican tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Smoky BBQ Tender, 1 x Bone in Angara Grilled Chicken",x bone jamaican grilled chicken x grilled chicken smoky bbq tender x bone angara grilled chicken
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Salted Fries",x bone peri peri grilled chicken x salted fry
1 x Animal Fries,x animal fry
1 x AAC Saucy Fries,x aac saucy fry
1 x Onion Bombs,x onion bomb
1 x Animal Fries,x animal fry
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Jamaican Sauce, 1 x AAC Signature Fries",x jamaican sauce x aac signature fry
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries,x fried chicken peri peri tender peri peri fry
"1 x Bone in Kabuli Grilled Chicken, 1 x Harisa Mayo",x bone kabuli grilled chicken x harisa mayo
1 x Grilled Chicken Peri Peri Tender,x grilled chicken peri peri tender
"1 x Bone in Kabuli Grilled Chicken, 1 x Grilled Chicken Jamaican Tender",x bone kabuli grilled chicken x grilled chicken jamaican tender
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Grilled Chicken Peri Peri Tangdi, 1 x Bone in Peri Peri Grilled Chicken",x grilled chicken peri peri tangdi x bone peri peri grilled chicken
"1 x Fried Chicken Peri Peri Tender, 1 x Bone in Peri Peri Grilled Chicken",x fried chicken peri peri tender x bone peri peri grilled chicken
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grilled chicken x bone jamaican grilled chicken
"1 x Animal Fries, 1 x Grilled Chicken Angara Tangdi",x animal fry x grilled chicken angara tangdi
"1 x Grilled Chicken Jamaican Tender, 1 x Bone in Peri Peri Grilled Chicken",x grilled chicken jamaican tender x bone peri peri grilled chicken
"1 x Garlic Aioli, 1 x Cafreal dip, 1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x garlic aioli x cafreal dip x bone jamaican grilled chicken x bone peri peri grilled chicken
"1 x Salted Krispers, 1 x Fried Chicken Angara Tender, 2 x Onion Bombs, 1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice, 1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries",x salted krispers x fried chicken angara tender x onion bomb x bone jamaican grilled chicken quarter angara rice x fried chicken peri peri tender peri peri fry
"1 x Fried Chicken Peri Peri Tender, 1 x Onion Bombs",x fried chicken peri peri tender x onion bomb
"1 x Animal Fries, 1 x Bone in Peri Peri Grilled Chicken",x animal fry x bone peri peri grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Jamaican Tangdi",x bone jamaican grilled chicken x grilled chicken jamaican tangdi
"1 x Animal Fries, 1 x Grilled Chicken Peri Peri Tangdi",x animal fry x grilled chicken peri peri tangdi
"1 x Angara Rice, 1 x AAC Signature Krispers, 1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender",x angara rice x aac signature krispers x grilled chicken peri peri tender x grilled chicken jamaican tender
"1 x Fried Chicken Peri Peri Tender, 1 x Bone in Jamaican Grilled Chicken",x fried chicken peri peri tender x bone jamaican grilled chicken
2 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone jamaican grilled chicken x bone angara grilled chicken
"1 x Bone in Angara Grilled Chicken, 1 x Grilled Chicken Tangdi Jamaican + Salted Krispers",x bone angara grilled chicken x grilled chicken tangdi jamaican salted krispers
"1 x Bone in Kabuli Grilled Chicken, 2 x Garlic Aioli, 1 x Bone in Jamaican Grilled Chicken",x bone kabuli grilled chicken x garlic aioli x bone jamaican grilled chicken
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Bone in Jamaican Grilled Chicken",x grilled chicken smoky bbq tender x bone jamaican grilled chicken
1 x Grilled Chicken Angara Tender,x grilled chicken angara tender
"1 x Bone in Peri Peri Grilled Chicken, 1 x Fried Chicken Classic Tender",x bone peri peri grilled chicken x fried chicken classic tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grilled chicken x bone jamaican grilled chicken
"1 x Fried Chicken Peri Peri Tender, 2 x Animal Fries, 1 x Grilled Chicken Jamaican Tender, 1 x Fried Chicken Angara Tender, 1 x Kabuli Grilled Paneer (8 pcs), 2 x AAC Saucy Fries",x fried chicken peri peri tender x animal fry x grilled chicken jamaican tender x fried chicken angara tender x kabuli grilled paneer pc x aac saucy fry
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken x bone smoky bbq grilled chicken x bone angara grilled chicken
2 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone jamaican grilled chicken x bone kabuli grilled chicken
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Grilled Chicken Jamaican Tender",x grilled chicken smoky bbq tender x grilled chicken jamaican tender
"1 x Grilled Chicken Peri Peri Tangdi, 1 x Grilled Chicken Smoky BBQ Tender",x grilled chicken peri peri tangdi x grilled chicken smoky bbq tender
"1 x AAC Saucy Fries, 1 x Angara Grilled Paneer (8 pcs)",x aac saucy fry x angara grilled paneer pc
"1 x Fried Chicken Classic Tender, 1 x Bone in Jamaican Grilled Chicken",x fried chicken classic tender x bone jamaican grilled chicken
"1 x Animal Fries, 2 x Harisa Mayo, 1 x Bone in Jamaican Grilled Chicken",x animal fry x harisa mayo x bone jamaican grilled chicken
"1 x Bone in Angara Grilled Chicken, 1 x Fried Chicken Classic Tender",x bone angara grilled chicken x fried chicken classic tender
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Grilled Chicken Jamaican Tender, 1 x Salted Fries, 1 x AAC Special Slaw",x grilled chicken smoky bbq tender x grilled chicken jamaican tender x salted fry x aac special slaw
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grilled chicken x bone jamaican grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Ghostbuster Tender, 1 x Grilled Chicken Jamaican Tender, 1 x Animal Fries, 1 x Grilled Chicken Smoky BBQ Tangdi, 1 x Bone in Kabuli Grilled Chicken, 1 x Grilled Chicken Angara Tender, 1 x Fried Chicken Peri Peri Tender",x bone jamaican grilled chicken x fried chicken ghostbuster tender x grilled chicken jamaican tender x animal fry x grilled chicken smoky bbq tangdi x bone kabuli grilled chicken x grilled chicken angara tender x fried chicken peri peri tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grilled chicken x bone jamaican grilled chicken
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Fried Chicken Angara Tender, 1 x Fried Chicken Peri Peri Tender",x fried chicken angara tender x fried chicken peri peri tender
"1 x Garlic Aioli, 1 x AAC Signature Fries, 2 x Grilled Chicken Peri Peri Tangdi",x garlic aioli x aac signature fry x grilled chicken peri peri tangdi
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Ghostbuster Tender",x bone jamaican grilled chicken x fried chicken ghostbuster tender
